iter	Logloss
0	0.625597254
1	0.5747138656
2	0.5271022798
3	0.4913363036
4	0.456962725
5	0.4276890137
6	0.4058425855
7	0.3836397333
8	0.3632790154
9	0.3483582274
10	0.3282411798
11	0.3151889475
12	0.3027339637
13	0.291940136
14	0.2791769299
15	0.2683005512
16	0.2596006657
17	0.2522403969
18	0.2448038422
19	0.237915705
20	0.2324101871
21	0.2261012896
22	0.2207042996
23	0.2143027588
24	0.2075793464
25	0.201610764
26	0.1959601777
27	0.1891261943
28	0.1829447657
29	0.1778543356
30	0.1735846042
31	0.1695626088
32	0.1665496048
33	0.1610167092
34	0.158021808
35	0.1552524957
36	0.1512690616
37	0.1484408117
38	0.1449143976
39	0.1411511645
40	0.1373426841
41	0.1335919887
42	0.1318323352
43	0.1273752744
44	0.1244558543
45	0.1221615843
46	0.1191474139
47	0.1167634145
48	0.1133392194
49	0.1114327853
50	0.1097466294
51	0.1067803886
52	0.1045477429
53	0.1023746289
54	0.09987571364
55	0.09755040131
56	0.09538112716
57	0.09409999005
58	0.09162002134
59	0.08959327407
60	0.08784926615
61	0.08613505085
62	0.08452282487
63	0.08208385975
64	0.07978861984
65	0.0780639057
66	0.07634303775
67	0.07496522301
68	0.0731180844
69	0.07216041832
70	0.07039603586
71	0.06959572238
72	0.06866871743
73	0.06774056031
74	0.06626417853
75	0.06545322776
76	0.06374707401
77	0.06318311373
78	0.06264581146
79	0.06222540241
80	0.0607742029
81	0.06019991444
82	0.0593332261
83	0.05779253539
84	0.05700746055
85	0.05627542011
86	0.05508087271
87	0.05493256408
88	0.05439681575
89	0.05302772178
90	0.05174418382
91	0.05046734466
92	0.04941445671
93	0.04840025594
94	0.04739824034
95	0.04633445948
96	0.04539740415
97	0.04455554156
98	0.04392931026
99	0.04292821481
100	0.04197942716
101	0.04127527895
102	0.04048667544
103	0.0398078668
104	0.03886594457
105	0.03819414108
106	0.03745054649
107	0.03690926966
108	0.036381549
109	0.03575259328
110	0.03521402823
111	0.03467571387
112	0.03412807189
113	0.03363033648
114	0.03305112052
115	0.03264080086
116	0.03200404325
117	0.03169934669
118	0.0310668894
119	0.03065942015
120	0.03013587053
121	0.02982130029
122	0.0293466327
123	0.02913910672
124	0.0288591535
125	0.02860805076
126	0.02820730392
127	0.02797644918
128	0.02751277962
129	0.02718747523
130	0.0267378339
131	0.02628529273
132	0.0259868824
133	0.02559120388
134	0.02525198258
135	0.02486971483
136	0.02464417122
137	0.02425581702
138	0.02398364299
139	0.02368571681
140	0.02329575301
141	0.02318955383
142	0.02307057124
143	0.02289215174
144	0.022665731
145	0.02238601217
146	0.02202856998
147	0.02180588154
148	0.02158149193
149	0.02131281727
150	0.02104988186
151	0.02078268825
152	0.02053729949
153	0.02030696298
154	0.02007042098
155	0.01980773608
156	0.01951561875
157	0.01926677458
158	0.01900845372
159	0.01879069955
160	0.01861132125
161	0.01842281236
162	0.01826303199
163	0.0181004188
164	0.01795272307
165	0.01774454483
166	0.01757867399
167	0.01734756544
168	0.01719662341
169	0.0170069737
170	0.01677937552
171	0.01660520763
172	0.0164429149
173	0.01625119523
174	0.01607745913
175	0.01589595521
176	0.01571160344
177	0.01558363053
178	0.01543079653
179	0.01523682086
180	0.01509233517
181	0.0149703187
182	0.01478883491
183	0.01462199208
184	0.0144684355
185	0.0143270434
186	0.01419367732
187	0.01400194813
188	0.01389119592
189	0.01376198917
190	0.01360797662
191	0.01350571336
192	0.01341931428
193	0.01331867747
194	0.01317576
195	0.01305797756
196	0.01295682179
197	0.01289661945
198	0.01277437921
199	0.01272681488
